,Movie Names,Ratings,Year,Duration (Minutes),Classification
142,Jurassic Park,8.2,1993,127,PG-13
143,Ran,8.2,1985,160,R
144,The Sixth Sense,8.2,1999,107,PG-13
145,Pan's Labyrinth,8.2,2006,118,R
146,Unforgiven,8.2,1992,130,R
147,No Country for Old Men,8.2,2007,122,R
148,A Beautiful Mind,8.2,2001,135,PG-13
149,The Thing,8.2,1982,109,R
150,Kill Bill: Vol,8.2,2003,111,R
151,The Treasure of the Sierra Madre,8.2,1948,126,Approved
152,Yojimbo,8.2,1961,110,Not Rated
153,Monty Python and the Holy Grail,8.2,1975,91,PG
154,The Great Escape,8.2,1963,172,Approved
155,Finding Nemo,8.2,2003,100,G
156,Rashomon,8.2,1950,88,Not Rated
157,Prisoners,8.2,2013,153,R
158,Howl's Moving Castle,8.2,2004,119,PG
159,The Elephant Man,8.2,1980,124,PG
160,Chinatown,8.1,1974,130,R
161,Dial M for Murder,8.2,1954,105,PG
162,Gone with the Wind,8.2,1939,238,G
163,V for Vendetta,8.2,2005,132,R
164,"Lock, Stock and Two Smoking Barrels",8.1,1998,107,R
165,The Secret in Their Eyes,8.2,2009,129,R
166,Inside Out,8.1,2015,95,PG
167,Raging Bull,8.1,1980,129,R
168,"Three Billboards Outside Ebbing, Missouri",8.1,2017,115,R
169,Trainspotting,8.1,1996,93,R
170,The Bridge on the River Kwai,8.1,1957,161,PG
171,Spider-Man: No Way Home,8.2,2021,148,PG-13
172,Fargo,8.1,1996,98,R
173,Klaus,8.2,2019,96,PG
174,Catch Me If You Can,8.1,2002,141,PG-13
175,Warrior,8.1,2011,140,PG-13
176,Godzilla Minus One,8.3,2023,124,PG-13
177,Gran Torino,8.1,2008,116,R
178,My Neighbor Totoro,8.1,1988,86,G
179,Million Dollar Baby,8.1,2004,132,PG-13
180,Harry Potter and the Deathly Hallows: Part 2,8.1,2011,130,PG-13
181,Children of Heaven,8.2,1997,89,PG
182,12 Years a Slave,8.1,2013,134,R
183,Blade Runner,8.1,1982,117,R
184,Before Sunrise,8.1,1995,101,R
185,Ben-Hur,8.1,1959,212,G
186,Barry Lyndon,8.1,1975,185,PG
187,The Grand Budapest Hotel,8.1,2014,99,R
188,Gone Girl,8.1,2014,149,R
189,Hacksaw Ridge,8.1,2016,139,R
190,The Gold Rush,8.1,1925,95,Approved
191,Memories of Murder,8.1,2003,132,Not Rated
192,In the Name of the Father,8.1,1993,133,R
193,Dead Poets Society,8.1,1989,128,PG
194,Wild Tales,8.1,2014,122,R
195,Mad Max: Fury Road,8.1,2015,120,R
196,The General,8.1,1926,78,Passed
197,The Deer Hunter,8.1,1978,183,R
198,On the Waterfront,8.1,1954,108,Approved
199,"Monsters, Inc.",8.1,2001,92,G
200,Sherlock Jr.,8.2,1924,45,Passed
201,The Third Man,8.1,1949,93,Approved
202,The Wages of Fear,8.2,1953,131,Not Rated
203,Wild Strawberries,8.1,1957,91,Not Rated
204,Jaws,8.1,1975,124,PG
205,How to Train Your Dragon,8.1,2010,98,PG
206,Mary and Max,8.1,2009,92,Not Rated
207,Mr,8.1,1939,129,Approved
208,Ratatouille,8.1,2007,111,G
209,Ford v Ferrari,8.1,2019,152,PG-13
210,Tokyo Story,8.1,1953,136,Not Rated
211,The Big Lebowski,8.1,1998,117,R
212,Room,8.1,2015,118,R
213,The Seventh Seal,8.1,1957,96,Not Rated
214,Rocky,8.1,1976,120,PG
215,Logan,8.1,2017,137,R
216,Spotlight,8.1,2015,129,R
217,Hotel Rwanda,8.1,2004,121,PG-13
218,The Terminator,8.1,1984,107,R
219,Platoon,8.1,1986,120,R
220,The Passion of Joan of Arc,8.1,1928,114,Passed
221,La haine,8.1,1995,98,Not Rated
222,Before Sunset,8.1,2004,80,R
223,The Best Years of Our Lives,8.1,1946,170,Approved
224,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,2003,143,PG-13
225,The Exorcist,8.1,1973,122,R
226,Rush,8.1,2013,123,R
227,Jai Bhim,8.7,2021,164,Approved
228,Network,8.1,1976,121,R
229,Stand by Me,8.1,1986,89,R
230,The Wizard of Oz,8.1,1939,102,G
231,The Incredibles,8.0,2004,115,PG
232,Hachi: A Dog's Tale,8.1,2009,93,G
233,The Handmaiden,8.1,2016,145,Not Rated
234,Into the Wild,8.1,2007,148,R
235,My Father and My Son,8.2,2005,112,Not Rated
236,The Sound of Music,8.1,1965,172,G
237,To Be or Not to Be,8.1,1942,99,Approved
238,The Grapes of Wrath,8.1,1940,129,Approved
239,The Battle of Algiers,8.1,1966,121,Not Rated
240,Groundhog Day,8.0,1993,101,PG
241,Amores Perros,8.1,2000,154,R
242,Rebecca,8.1,1940,130,Approved
243,The Iron Giant,8.1,1999,86,PG
244,Cool Hand Luke,8.1,1967,127,Approved
245,The Help,8.1,2011,146,PG-13
246,It Happened One Night,8.1,1934,105,Approved
247,Aladdin,8.0,1992,90,G
248,Dances with Wolves,8.0,1990,181,PG-13
249,In the Mood for Love,8.1,2000,98,PG
